ZIP Code,Type,Common Cities,County
10983,Standard,Tappan,Rockland County
10984,Standard,Thiells,Rockland County
10985,Standard,"Thompson Ridge, Thompson Rdg",Orange County
10986,Standard,Tomkins Cove,Rockland County
10987,Standard,Tuxedo Park,Orange County
10988,PO Box,Unionville,Orange County
10989,Standard,"Valley Cottage, Vly Cottage",Rockland County
10990,Standard,Warwick,Orange County
10992,Standard,"Washingtonville, Washingtonvle",Orange County
10993,Standard,"West Haverstraw, W Haverstraw",Rockland County
10994,Standard,West Nyack,Rockland County
10996,Standard,West Point,Orange County
10997,PO Box,West Point,Orange County
10998,Standard,Westtown,Orange County
11001,Standard,"Floral Park, Bellerose Village, Bellerose Vlg, S Flor...",Nassau County
11002,PO Box,Floral Park,Queens County
11003,Standard,"Elmont, Alden Manor, Floral Park",Nassau County
11004,Standard,"Glen Oaks, Floral Park",Queens County
11005,Standard,Floral Park,Queens County
11010,Standard,"Franklin Square, Franklin Sq",Nassau County
11020,Standard,"Great Neck, Lake Success",Nassau County
11021,Standard,"Great Neck, Great Nck Plz, Great Neck Plaza",Nassau County
11022,PO Box,Great Neck,Nassau County
11023,Standard,Great Neck,Nassau County
11024,Standard,"Great Neck, Kings Point",Nassau County
11025,Unique,Great Neck,Nassau County
11026,PO Box,Great Neck,Nassau County
11027,PO Box,Great Neck,Nassau County
11030,Standard,"Manhasset, Plandome",Nassau County
11040,Standard,"New Hyde Park, Garden City Park, Garden Cty Pk, Hillsid...",Nassau County
11041,Unique,New Hyde Park,Nassau County
11042,Standard,"New Hyde Park, N New Hyde Pk, North New Hyde Park",Nassau County
11043,Unique,New Hyde Park,Nassau County
11044,Unique,"New Hyde Park, Eastern States Bkcard Assoc",Nassau County
11050,Standard,"Port Washington, Prt Washingtn, Sands Point",Nassau County
11051,Unique,"Port Washington, Prt Washingtn",Nassau County
11052,Unique,"Port Washington, Prt Washingtn",Nassau County
11053,Unique,"Port Washington, Prt Washingtn",Nassau County
11054,Unique,"Port Washington, Prt Washingtn",Nassau County
11055,Unique,"Port Washington, Prt Washingtn",Nassau County
11096,Standard,"Inwood, Far Rockaway",Nassau County
11099,Unique,New Hyde Park,Nassau County
11101,Standard,"Long Island City, Astoria, Long Is City",Queens County
11102,Standard,"Astoria, Long Is City, Long Island City",Queens County
11103,Standard,"Astoria, Long Is City, Long Island City",Queens County
11104,Standard,"Sunnyside, Astoria, Long Is City, Long Island City",Queens County
11105,Standard,"Astoria, Long Is City, Long Island City",Queens County
11106,Standard,"Astoria, Long Is City, Long Island City",Queens County
11109,Standard,"Long Island City, Long Is City",Queens County
11120,Unique,"Long Island City, Long Is City",Queens County
11201,Standard,"Brooklyn, Brooklyn Heights, Brooklyn Hgts",Kings County
11202,PO Box,Brooklyn,Kings County
11203,Standard,Brooklyn,Kings County
11204,Standard,Brooklyn,Kings County
11205,Standard,Brooklyn,Kings County
11206,Standard,Brooklyn,Kings County
11207,Standard,Brooklyn,Kings County
11208,Standard,Brooklyn,Kings County
11209,Standard,Brooklyn,Kings County
